Duty to advertise reasonably,"If a NA wishes to publish an advertisement, he must 1) send the Nevada Bar a hard and electronic copy of the advertisement that is 2) no less than 15 days from the first dissemination. The NA must then 3) keep the advertisement for four years with record of when and where it was used. An advertisement cannot give a potential client an unreasonable expectation of recovery."
Duty to Communicate,NAs owe their client a duty to communicate to their clients about their duty of confidentiality (see infra/supra) as well as the expectations that apply.
Duty to communicate to scope of representation,"NAs owe their clients a duty to communicate the scope of representation. NAs must tell their clients that the attorney’s job is to formulate the tactical strategy as to how to pursue a case, but the client has the right to determine 1) whether to testify, 2) whether to accept a plea, and 3) whether to settle."
Duty to not impart bias to the jury,"During a trial, NAs are not permitted to speak to a jury because NAs are not supposed to unduly influence a jury. NAs must also refrain from indirect communication. A NA may speak to a juror after the trial, only if the juror does not object to the conversation."
Duty to not make false/misleading promises,NA's have a duty not to mislead the public and possible clients about the outcome of their representation.
Duty to refrain from using insider information,An NA is prohibited to use confidential information obtained from representing a client for his own pecuniary gain.
Duty to report misconduct,"If a NA witnesses another NA violate the NRPC, even if the other NA is his supervisor, he must submit a report to the Nevada bar within 24 hours of witnessing the conduct unless the conduct would violate the attorney-client privilege of the offending attorney."
Duty to report up and out relating to corporate clients,"When an NA is representing a corporation, the NA must first communicate to the directors and/or officers of the corporation that the corporation, not the individual members is the NAs client. As such, NAs have duties owed under the NRCP to the corporation, but not the individual members. If an NA, while representing a corporate client discovers that there is a crime being committed, the NA has a duty to report up the chain of individuals managing the corporation. In the event the managing members of the corporation take no action to resolve the matter, the NA has a duty to report to the governmental agency in charge of sanctioning the conduct."
Duty to supervise subordinates,NAs have a duty to ensure subordinates comply with the NRPC. A NA is liable for a subordinate’s misconduct if 1) the NA knew of the conduct and failed to reasonably ameliorate the situation or 2) the NA ordered the misconduct.
Duty to Withdraw,"If an NA does not feel he can ethically, competently, or lawfully represent a client, or if the NA is materially limited in his representation of a client due to a conflict of interest (see infra/supra), the NA has a duty to withdraw from representation. If an NA determines he should withdraw from the matter, the NA must ensure the client is not detrimentally impacted by the abrupt withdrawal."
Duty to zealously represent,NAs owe a duty to zealously represent their clients in their matter. This includes a duty of loyalty and a duty to tell the client truthfully and diligently about her matter.
Fee Agreements,"Attorneys who are retained must have written fee agreements with their clients. Contingency fee agreements are allowed if they are reasonable unless the matter is a criminal law case, or a domestic relations case not involving the collection of a pre-determined fixed settlement. A reasonable fee is determined by a multitude of factors including 1) the complexity of the matter, 2) the experience of the NA, and 3) the asking rate of other attorneys in the vicinity. A valid contingency fee must state 1) what the contingency percentage is, 2) when the contingency fee is taken, 3) who is responsible for paying expenses, 4) a notice stating that the client may be liable to pay opposing party’s attorney’s fees should the court deem it so, and 5) that the client may be subject to penalties if he is abusing the judicial process by harassing his opponent."
Fiduciary Duty,NA’s owe their clients a fiduciary duty not to commingle client funds. Client funds must be held in a separate trust account and must be paid out expediently.
Inadequate Representation,"A suit for inadequate representation requires a plaintiff to prove that but for their NA’s misconduct, the outcome of the case would have been better for the plaintiff."
Pro Hac Vice,"An attorney admitted to another state’s bar may be admitted to practice in Nevada if 1) he is not a resident of NV, 2) he is not an attorney in NV, 3) he is not a member of the NV bar and 4) he associates with a NV attorney to handle the matter."
Prosecutor’s Special Duty to the Public,A prosecutor has special duties to the public including the duty to produce any and all evidence which would lead to the exoneration of a defendant to the defendant or their respective counsel.
Referrals,"An NA can be recommended by others, however, NAs cannot split fees or have referral agreements with anyone which creates a kickback agreement."
Sale of Law Practice,"A NA may sell his practice as long as 1) the NA agrees to not practice in the geographical area in which is law firm is situated, 2) the NA sells his entire practice, 3) clients of the firm are not subject to a rate increase and 4) all clients are notified of the transaction by certified mail."
Duty of Communication,A NA has a duty to keep a client reasonably informed about a matter and communicate with that client when the client needs to provide information.
,
